2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
"10,944,686.20","10,762,824.00","10,567,262.00","10,089,273.20","9,860,914.00","9,859,281.20","10,021,043.40","9,979,128.00","9,540,539.70","9,282,553.70","8,474,922.70","7,719,071.40","7,199,604.70","6,993,182.80","6,437,470.30","5,824,625.10","5,113,216.60","4,424,412.60","3,796,157.10","3,529,081.30","3,346,525.80","3,153,661.10","3,236,278.60","3,134,112.60","3,070,505.10","3,088,620.20","2,767,666.40","2,645,411.70","2,418,175.30","2,302,185.20","2,173,364.20"
"4,320,532.50","4,817,710.40","4,975,300.40","4,819,365.10","4,894,499.20","4,990,703.70","5,107,208.60","5,092,097.20","4,956,053.00","5,173,591.20","5,392,109.40","5,156,424.90","5,558,378.90","5,736,319.30","5,653,081.00","5,753,493.20","5,738,286.00","5,658,992.00","5,593,024.40","5,748,261.80","5,775,807.20","5,609,017.30","5,590,536.30","5,543,349.40","5,273,486.30","5,117,036.90","5,066,803.00","4,995,209.50","4,879,626.10","4,807,496.50","4,844,517.40"
"2,200,836.30","2,423,951.40","2,458,175.90","2,308,804.40","2,195,248.50","2,158,023.20","2,147,107.00","1,972,429.40","1,909,442.00","1,756,744.00","1,659,983.00","1,564,881.10","1,424,383.00","1,336,737.10","1,215,205.20","1,136,466.40","1,085,666.90","1,011,770.90","985,453.30","953,537.30","937,858.40","901,325.20","836,269.90","819,268.80","774,070.20","737,856.40","685,903.00","651,351.10","626,293.30","607,224.00","563,575.40"
"1,618,271.00","1,703,588.70","1,661,000.00","1,594,550.30","1,571,517.30","1,592,559.40","1,611,960.70","1,632,679.70","1,675,755.90","1,699,083.20","1,617,827.50","1,546,666.40","1,655,191.10","1,658,148.60","1,654,851.00","1,611,982.10","1,600,978.50","1,609,996.70","1,565,334.40","1,567,172.00","1,563,845.60","1,523,721.30","1,487,965.00","1,489,506.50","1,601,176.50","1,635,484.80","1,685,046.30","1,880,244.50","2,030,810.70","2,136,444.30","2,163,533.10"
"1,014,064.70","1,073,645.30","1,111,115.30","1,150,835.00","1,164,869.40","1,178,349.10","1,217,306.60","1,267,376.20","1,254,319.40","1,213,775.60","1,157,241.80","1,102,386.20","1,158,836.10","1,227,990.80","1,193,043.30","1,215,474.40","1,207,285.70","1,213,929.50","1,206,760.20","1,172,339.50","1,184,424.90","1,168,954.70","1,130,280.50","1,172,604.10","1,184,646.60","1,170,985.40","1,160,755.10","1,107,586.80","1,115,035.10","1,103,961.30","1,090,508.10"
"616,561.30","625,251.50","637,433.70","626,427.90","607,216.30","599,182.70","605,356.10","583,703.10","559,122.10","552,050.90","541,171.10","542,297.10","523,048.30","514,142.80","484,179.10","450,795.70","417,660.40","389,777.10","369,875.80","354,068.40","340,456.20","323,360.40","290,997.40","292,398.60","279,812.10","271,519.50","266,697.10","236,729.00","233,650.90","219,101.20","198,471.70"
"603,350.50","658,693.50","707,770.20","732,204.20","747,147.20","742,314.40","736,011.70","776,151.80","760,127.70","746,477.30","773,069.10","734,805.50","789,690.40","783,803.00","814,413.10","802,383.20","821,073.60","836,794.50","833,382.20","847,678.20","830,284.10","833,594.90","865,253.70","872,646.50","904,337.40","874,659.40","875,897.10","887,057.00","892,817.40","932,548.10","955,307.70"
"569,681.80","612,133.70","630,186.60","626,178.40","615,443.60","607,827.10","588,088.60","599,601.40","600,316.30","598,480.80","575,215.70","526,639.50","514,924.50","503,693.80","487,852.10","481,002.10","485,909.60","463,913.90","461,000.10","456,674.00","447,237.30","401,878.50","366,567.20","431,637.60","409,990.30","385,406.00","354,277.10","327,604.40","297,049.90","274,792.70","247,675.80"
"563,197.00","605,290.60","568,007.60","515,395.70","483,978.70","489,052.80","484,640.10","448,400.20","481,791.30","475,800.90","415,536.60","391,082.70","376,137.80","379,956.60","364,467.00","342,148.10","341,235.40","333,878.10","305,633.00","302,055.00","280,635.70","279,482.90","262,705.10","261,157.00","236,717.10","223,678.80","199,175.80","185,087.30","171,415.60","162,314.50","148,342.90"
"516,873.70","566,001.80","579,573.90","568,175.90","556,874.10","558,747.20","561,760.50","555,742.40","546,291.60","549,369.90","537,091.50","521,399.40","550,553.20","571,632.00","540,525.60","549,032.70","536,417.30","544,541.80","524,353.40","506,615.90","514,215.10","494,278.50","484,791.80","476,815.90","461,700.70","448,046.00","436,764.60","422,047.80","426,367.30","413,298.60","419,492.20"
"513,555.80","526,770.30","527,565.70","549,749.90","561,229.70","565,190.10","540,520.20","503,213.70","492,467.10","463,763.70","446,131.50","406,526.70","389,713.40","354,617.40","335,434.30","315,293.20","299,889.40","284,828.30","272,251.20","254,084.20","249,654.80","239,520.50","233,898.80","220,072.70","217,652.40","204,830.50","206,359.40","203,252.60","202,031.70","187,924.90","171,403.30"
"414,138.80","434,318.00","433,838.80","455,684.80","447,077.30","485,344.10","511,618.00","486,844.70","454,232.90","418,295.40","397,931.10","350,000.90","373,633.10","352,555.80","335,624.60","331,689.10","328,517.30","310,808.10","317,756.50","319,375.70","313,670.80","300,958.70","290,587.20","281,335.00","262,414.10","241,283.80","222,497.50","215,259.50","207,865.40","205,475.40","197,897.40"
"407,406.20","398,772.90","414,111.90","418,098.20","376,399.00","353,413.80","341,671.50","319,088.60","329,797.80","318,641.20","297,814.00","288,307.20","287,205.00","288,967.80","261,083.60","235,003.00","224,601.20","219,158.60","208,107.60","197,771.10","216,396.50","192,651.40","193,687.60","193,428.40","185,337.70","168,150.50","153,823.10","155,579.50","149,797.20","143,796.10","139,197.90"
"393,241.60","446,626.00","439,644.60","435,214.50","425,682.90","425,063.10","448,298.10","437,261.70","427,001.70","409,480.30","425,548.40","404,354.00","427,111.70","397,161.90","379,736.00","377,642.70","379,939.80","353,033.50","331,272.00","320,393.30","284,463.30","278,270.90","296,196.90","288,584.80","274,043.70","264,251.50","252,088.50","246,445.90","238,780.60","242,286.00","247,614.70"
"383,131.40","451,828.80","444,898.40","474,498.50","476,394.60","471,632.60","462,240.10","475,737.50","486,454.20","478,403.50","462,869.50","448,372.50","459,548.10","457,121.00","448,302.80","432,187.40","414,102.00","404,692.20","386,004.60","378,830.60","379,176.00","355,178.30","365,142.40","342,478.40","322,699.10","306,842.10","326,504.80","300,667.50","291,682.50","287,995.80","269,575.40"
"378,996.80","395,199.10","396,059.90","397,149.40","394,803.60","385,782.40","379,267.20","388,427.40","395,690.00","394,436.70","395,993.20","393,859.70","387,570.30","384,368.30","374,104.40","368,801.90","366,141.60","352,893.50","353,315.80","345,609.40","339,422.80","333,677.70","327,536.90","307,778.50","300,180.40","290,141.50","280,096.30","273,016.90","268,366.50","264,709.70","263,437.50"
"355,323.10","341,716.80","286,139.30","229,877.40","222,028.50","201,513.30","180,698.80","164,297.40","155,522.80","155,973.30","151,413.50","132,290.00","117,585.10","105,137.40","94,869.70","92,368.60","85,051.80","70,903.70","66,495.80","56,722.40","51,207.70","46,412.80","45,473.90","40,842.90","35,033.50","31,401.00","26,682.30","24,244.90","20,812.90","19,796.60","19,327.90"
"308,650.30","345,934.30","360,555.90","366,844.10","382,154.90","401,075.30","415,609.00","453,778.10","467,831.00","445,648.40","482,646.20","466,492.50","515,335.60","530,502.50","542,060.80","540,917.00","543,075.90","543,037.10","530,785.90","545,262.20","530,888.20","522,752.60","526,000.60","524,191.20","545,478.10","526,808.20","535,183.20","541,376.40","557,885.60","570,681.60","561,774.50"
"281,286.80","317,223.00","324,884.20","329,193.30","333,344.80","337,862.10","327,498.00","346,458.30","376,747.20","396,687.40","405,272.30","397,057.10","444,984.50","459,371.10","466,654.50","473,831.80","472,404.80","462,197.80","443,473.10","436,571.40","436,296.60","433,010.60","426,372.20","415,517.30","412,153.50","416,415.00","392,285.50","396,927.90","402,274.30","404,074.10","405,262.00"
"279,223.80","294,948.30","311,754.90","312,769.90","299,802.40","289,077.40","285,730.00","298,304.40","303,351.40","310,593.60","313,739.10","297,260.30","308,325.30","313,375.40","314,093.00","301,353.00","301,854.00","297,730.80","287,320.30","293,627.40","295,774.40","308,978.10","318,414.10","344,627.00","355,320.20","340,003.80","339,752.20","344,016.40","343,368.40","351,624.90","350,214.60"
"267,154.70","300,561.60","306,948.40","317,721.20","313,835.20","311,175.40","306,017.40","338,453.10","338,315.40","335,031.90","347,940.10","343,882.50","358,211.20","363,052.20","371,741.00","380,816.10","377,948.50","376,838.70","371,167.20","376,860.30","373,235.80","375,003.60","381,182.30","359,140.50","367,959.60","352,283.10","344,475.40","349,524.60","368,655.70","380,691.30","356,297.90"
"265,478.90","274,466.70","264,483.60","267,137.10","267,916.30","268,853.30","261,377.00","264,681.00","256,286.00","238,968.50","240,768.30","224,850.10","233,893.70","231,901.70","224,693.70","222,096.80","213,439.90","195,675.50","190,573.90","178,776.60","168,941.40","169,086.00","160,408.90","181,502.80","175,594.00","156,293.30","137,725.00","123,371.70","106,917.20","96,403.40","88,005.80"
"245,139.30","244,882.00","241,451.40","225,104.10","231,669.40","236,229.40","236,264.60","223,086.50","205,415.80","202,401.30","199,867.00","181,472.70","202,458.60","189,464.80","173,632.90","166,973.40","157,850.00","144,010.00","136,377.90","129,458.70","124,355.90","114,454.70","105,685.20","106,015.20","98,644.70","86,310.00","79,739.30","73,044.40","67,174.70","65,096.20","54,615.00"
